id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,-10.965,0.375,0.13,0.1,0.562,135.128,25
7FI9XqPwaSMlTIZsmLwnW3,0.533,0.58,-6.906,0.4,0.0,0.346,0.626,173.882,11
2LRbFU1RmOZvYvcVmxa9vC,0.795,0.883,-4.966,0.0687,6.35e-06,0.125,0.491,109.003,7
4dwBMdAkQkC2uAkV9d23c5,0.406,0.774,-4.431,0.0532,0.0,0.0948,0.921,73.356,0
4eT8TcG3KKlprFcYePA9gw,0.853,0.679,-4.029,0.113,0.0,0.175,0.388,102.604,25
7diaOVBn2tLEpiWZA8IRzL,0.849,0.83,-5.83,0.228,0.0,0.303,0.602,98.086,25
7MjZDnFfaiiNrhZEPioGtn,0.728,0.546,-12.055,0.032,0.821,0.0907,0.139,122.986,10
3UGnDnM18Tyd8ZHICBIlai,0.819,0.413,-11.1,0.0741,0.505,0.079,0.0384,120.024,10
5KMm0xpzwGkHQnTWSW8kPx,0.605,0.617,-10.542,0.0516,0.787,0.108,0.239,119.965,10
6mlJOsRR8OFNKTPVMd97uO,0.43,0.428,-10.948,0.0681,0.016,0.124,0.119,117.551,22
6b2EqQRpnOfYilaNXqb8SD,0.621,0.644,-5.845,0.0381,5.95e-06,0.0993,0.479,132.923,17
0xfUruKo8PubvGKs9hVN7b,0.709,0.72,-4.96,0.0333,6.97e-06,0.0647,0.757,131.007,7
1Hig7RNxPMrYZ9aN5lZtAd,0.689,0.773,-4.342,0.0418,0.0,0.114,0.473,127.03,17
2Nsz5vf1G6jxQs9JdKkTaT,0.751,0.67,-7.883,0.0633,0.0515,0.427,0.203,119.998,17
3WmMLDQJljhKRPO4p0ZYSr,0.641,0.24,-15.397,0.158,0.0012,0.111,0.178,92.423,18
3W2ZcrRsInZbjWylOi6KhZ,0.593,0.392,-6.872,0.0257,0.000114,0.131,0.25,75.065,22
4qX18Am6dJZg0ovgddL7w6,0.745,0.717,-6.101,0.0861,0.0,0.0916,0.334,97.014,17
07f2b3CTdgKKlhv0mqUksz,0.717,0.668,-5.003,0.0554,0.0,0.0673,0.464,89.045,7
6erIvryBSsAdebNU4a7Mrs,0.758,0.729,-7.371,0.0417,2.39e-06,0.0954,0.738,142.052,7
3VenRcw70iVqKDrHdGgVwt,0.598,0.478,-9.55,0.0381,0.0,0.767,0.574,76.507,19
7C3nZgrsTFm7tSozmjxP7c,0.68,0.533,-11.801,0.0322,0.504,0.121,0.0749,120.013,10
2YQ1cc9xWnp5qI08rKt6wv,0.616,0.881,-5.315,0.238,0.0,0.14,0.711,90.387,7
1vcxF91pWs9uNwDROuiCPB,0.554,0.932,-3.424,0.0485,0.000142,0.425,0.478,112.49,13
5sG3G54H21hNfd5etlheoe,0.387,0.94,-4.16,0.0528,0.0,0.0759,0.444,134.876,13
7xg8cTM38RDMpA1SG5zXF3,0.702,0.568,-5.491,0.0427,0.0,0.134,0.257,139.893,17
4h6UIDvGWTYZvu4BLf2GpO,0.694,0.895,-4.349,0.252,0.0,0.0749,0.621,120.002,7
5peJfpkLPMilv44VqUa2AS,0.722,0.824,-3.108,0.0441,0.0,0.257,0.504,128.007,7
1aDklx1GaBqHFowCzz63wU,0.182,0.0651,-16.341,0.0462,0.886,0.111,0.038,60.812,21
0Lo4I99DBS5t5tFAR2adJX,0.731,0.545,-10.321,0.0523,0.00335,0.0935,0.0374,129.904,17
3ZcUSLcjspp31aYMSo9PDa,0.685,0.532,-12.407,0.0353,0.0663,0.113,0.216,123.003,17
1HHxzXIdk5XJrG8TJHEWq5,0.854,0.93,-7.528,0.0439,0.697,0.0815,0.192,123.998,10
0lwUE9DGjdbbuwbPbxZyzw,0.967,0.393,-13.127,0.197,0.302,0.0646,0.314,114.001,25
1XYGVM8TsjeadnoNG4ZKbh,0.817,0.477,-10.749,0.0797,0.842,0.0775,0.248,120.017,10
476iNCuZzxV3AXQeRlF1qv,0.737,0.609,-10.034,0.0584,0.756,0.0919,0.176,124.006,10
74Ii7NBZwNhUT8rW23oiAM,0.496,0.895,-6.285,0.0407,0.000162,0.929,0.315,98.022,16
0PV1TFUMTBrDETzW6KQulB,0.59,0.672,-11.792,0.412,1.04e-06,0.147,0.688,206.247,11
5DvKWEChIVMdqLWhRw5NFE,0.589,0.96,-3.469,0.492,0.0,0.153,0.518,191.991,24
0smyCrJiibi2uwCiq5R1vj,0.547,0.707,-8.74,0.0338,0.000149,0.285,0.654,119.576,9
09OjxQFRppJSahGq2x4A3k,0.66,0.858,-3.616,0.305,0.0,0.0891,0.762,81.696,25
6sDb7wNlVXQGqnhEHiNt8B,0.615,0.84,-6.058,0.376,0.0,0.055,0.256,94.921,25
0H19kHU2dYb4hb5HIQ6Bre,0.342,0.249,-8.483,0.0341,0.0173,0.119,0.0369,111.783,22
7ixuc4KOSHm0BsrwsRLM3i,0.637,0.821,-8.781,0.0345,0.866,0.154,0.303,123.988,10
5caMCe2gq8y72GVUEQEonQ,0.312,0.672,-6.154,0.062,0.0,0.173,0.425,77.658,13
0roOm70gwNO7JXMyINwG91,0.478,0.672,-7.035,0.147,8.9e-05,0.149,0.319,121.905,13
2Lg1njXKvhgv72U9QkrwXi,0.595,0.585,-4.686,0.0473,4.3e-06,0.548,0.668,180.011,9
4xoUQTqCPbgorjbzr7empX,0.585,0.662,-6.077,0.0283,0.0,0.128,0.482,97.963,13
3UmaczJpikHgJFyBTAJVoz,0.78,0.768,-4.325,0.238,2.34e-06,0.518,0.507,80.063,9
42YNobZ4HN3tRVEA47wLT6,0.619,0.746,-5.479,0.36,0.0,0.295,0.757,149.944,3
4xkOaSrkexMciUUogZKVTS,0.548,0.847,-3.237,0.186,0.0,0.0816,0.1,171.447,24
3dkKXwgAmYTf2TwYds2E12,0.727,0.873,-4.071,0.338,0.0,0.246,0.674,95.122,25
2PEGWvtaDCGPh2TLVhQzfc,0.572,0.412,-13.273,0.0348,0.613,0.102,0.132,122.046,10
1rn5uhAxbKLliAPwOYKoVj,0.64,0.303,-11.651,0.4,2.96e-05,0.119,0.127,116.306,17
5thTifzv6XFkdaQSrV6Pqk,0.781,0.611,-8.867,0.165,0.000277,0.13,0.279,139.996,17
5yH8Ce7MpMwJPDSRvgIZF6,0.805,0.784,-6.699,0.346,0.0,0.103,0.745,94.992,25
5R5JNgR4IG95hJFkZNg7kE,0.629,0.584,-9.772,0.345,0.00139,0.0579,0.243,122.929,17
19yMYXxG3gtIbKxOpQo9vL,0.6,0.589,-8.296,0.29,0.224,0.107,0.59,81.815,25
64I9byMYBlS1ARsC3vtpgW,0.776,0.593,-10.535,0.252,0.00616,0.186,0.247,94.97,25
6dEe0H4vjEyy2ukczkB25o,0.79,0.675,-6.952,0.319,1.36e-05,0.103,0.363,90.961,25
3Xg0UvPl8tsxBKAOLKgmOw,0.892,0.78,-4.393,0.0606,0.0,0.0456,0.532,129.988,7
7jLbTp3qZzah9kMIdW8e5M,0.794,0.614,-5.352,0.0467,0.0,0.0788,0.663,80.569,7
40UtAXchn1GhZYN5dpWQu7,0.577,0.539,-9.865,0.0706,0.0,0.682,0.523,79.991,9
5utzD9p8vqF0OJ5iPHmiAR,0.57,0.677,-5.855,0.179,0.0,0.312,0.412,137.939,17
0McCLN8MqfYN8rVMyjeKLU,0.81,0.725,-5.81,0.092,0.0,0.157,0.591,157.968,3
5dvpipXxOIH96gcGEKR1Iu,0.753,0.663,-8.073,0.176,0.0598,0.115,0.149,90.011,25
7GsjIMQUooKbmPL6AzOR3d,0.851,0.49,-7.146,0.121,4.04e-05,0.192,0.626,102.977,25
1BPeDi69y1PIqB9Hnc5DVu,0.884,0.395,-9.288,0.373,1.06e-05,0.124,0.487,149.949,25
2u8AXJyk8pICzj2wyPBL0b,0.657,0.691,-7.907,0.236,0.0,0.099,0.493,160.106,3
3trghC439UU33ZxSi0mceX,0.752,0.795,-6.863,0.037,2.5e-05,0.147,0.158,125.96,17
6ndmKwWqMozN2tcZqzCX4K,0.688,0.835,-4.162,0.0911,2.87e-06,0.0795,0.88,84.858,7
7pAT4dOUzjq8Ziap5ShIqC,0.684,0.819,-3.309,0.238,0.00197,0.113,0.25,179.999,24
4IYKjN1DrYzxKXt0umJqsG,0.6,0.706,-7.899,0.361,0.0,0.125,0.58,173.926,3
2DGaC5ET92bgg0fMunJKIF,0.823,0.747,-4.99,0.256,0.00457,0.115,0.724,159.99,3
5GQFx7UzCJOQZEqKjTepaY,0.836,0.72,-4.74,0.242,0.000175,0.0686,0.756,160.017,3
3s5AjOPcxQDdfNoT9PbBGM,0.549,0.769,-4.795,0.116,0.000261,0.126,0.442,114.025,13
1auxYwYrFRqZP7t3s7w4um,0.789,0.858,-5.542,0.311,0.0,0.349,0.775,140.022,25
6Pd20wirRDM9k4e69px3dN,0.666,0.537,-10.467,0.249,0.0208,0.0656,0.653,93.002,25
1Woy8A8P76F5F5e3NILRxi,0.851,0.798,-4.161,0.148,1.09e-05,0.118,0.754,97.015,7
3ClBKQkKoaUQ6UOhe2xlJK,0.794,0.32,-12.92,0.173,0.134,0.112,0.241,174.088,17
4Y1Fde9Hx0bVsaPSk8K9Z0,0.606,0.262,-16.251,0.0758,0.0,0.388,0.152,124.047,18
0Yin2dl5A5LOWGnb7A20rk,0.67,0.784,-6.852,0.176,0.0,0.283,0.769,145.019,3
3uulVrxiI7iLTjOBZsaiF8,0.636,0.901,-7.094,0.118,0.0,0.391,0.836,162.994,3
5iUQMwxUPdJBFeGkePtM66,0.836,0.67,-6.907,0.23,0.000355,0.0837,0.556,107.018,25
2JjkHuu2A0A0hvewiZKutV,0.633,0.469,-8.375,0.11,0.0,0.105,0.193,120.041,17
4mGQEOjZmzNjWI69ZirJLp,0.772,0.621,-7.214,0.0404,0.000116,0.0786,0.725,101.0,7
0gsXBDy0CT4bti4LmqVsT3,0.748,0.709,-7.891,0.0411,0.0044,0.271,0.702,109.939,7
1GHgDIODujliWFayEhHx1n,0.707,0.775,-4.28,0.0483,0.0,0.613,0.504,140.012,9
3Tvl4fK2SEGBPF8zYVBqyP,0.697,0.808,-4.522,0.156,0.0,0.635,0.422,129.849,16
5wXZXabu8JyRGNHqgueUHm,0.535,0.84,-6.862,0.482,0.0134,0.294,0.702,89.368,25
4ktvY7ScRq7jVrC4DvLXHO,0.603,0.914,-3.223,0.329,0.0,0.0466,0.558,174.723,3
4QPEwDdOMhY7rNS05mTyMR,0.817,0.781,-4.178,0.112,5.21e-06,0.123,0.359,104.0,25
0FJ1psBJglPPwb3fJfZNJE,0.767,0.592,-10.267,0.0981,0.0,0.155,0.967,100.024,7
2PGA1AsJal6cyMNmKyE56q,0.899,0.67,-6.455,0.163,1.38e-05,0.105,0.413,148.065,25
5QWLpCLmzXy77mmSG8JLL6,0.7,0.467,-9.028,0.0952,0.781,0.101,0.869,128.004,15
4CEGyF5A5u5BjweVvkgCsn,0.542,0.581,-5.687,0.159,1.02e-06,0.0741,0.0857,108.909,17
0lppL7OMGEnzruhQUT9fZq,0.474,0.688,-6.047,0.184,0.0,0.657,0.741,152.087,16
39NDBdU5Xkm5pCFGa5kZtI,0.802,0.463,-8.379,0.162,0.00531,0.105,0.291,103.961,25
70Gfd3sMJyaNEjR9ybNv8y,0.809,0.646,-7.735,0.0718,2.23e-06,0.106,0.496,121.88,17
165cwz4wGlGz0uDBhxdKLY,0.682,0.281,-14.267,0.126,0.359,0.106,0.475,82.954,18
5yY9lUy8nbvjM1Uyo1Uqoc,0.676,0.609,-5.831,0.481,0.0,0.152,0.508,142.037,25
2w9htZtkcbR48NCWzXjfvb,0.569,0.881,-5.873,0.365,0.0,0.655,0.811,148.067,16
26G5nmIx7Yvq79bIIluyZV,0.762,0.054,-16.735,0.0503,0.0,0.124,0.339,96.838,18
2Yv2mHzr5AQavVdwQjEokV,0.677,0.33,-11.198,0.149,0.000871,0.064,0.336,68.985,18
3eekarcy7kvN4yt5ZFzltW,0.598,0.427,-8.764,0.0317,5.83e-06,0.21,0.0605,76.469,22
6wyzB1FsBzRpGSyXRoTxt1,0.702,0.844,-4.375,0.358,0.0,0.194,0.511,119.269,25
08mnG0RH3PgAfCiDgAaVVQ,0.677,0.665,-9.832,0.284,0.0,0.128,0.466,96.897,25
3R1k8P1MrDdLSRhlTaaWAS,0.593,0.73,-4.638,0.159,0.000156,0.715,0.377,133.879,16
3qDTOWB81zbR5R2CbnthyP,0.849,0.348,-10.34,0.132,0.00109,0.0871,0.288,130.001,17
2V2ulwummLq5B1NlqNyBMy,0.469,0.733,-8.9,0.175,0.0181,0.369,0.542,173.938,24
3bidbhpOYeV4knp8AIu8Xn,0.641,0.922,-4.457,0.0786,0.0,0.0862,0.847,146.078,3
3AYcyxEACnmE6d96RPubID,0.781,0.526,-6.985,0.293,0.0,0.0457,0.662,94.992,25
2wUKJRy95zmJRYxxWvw535,0.757,0.58,-6.339,0.0723,0.00264,0.128,0.508,157.017,17
7Cd0hkLaLvICYCLZAjmdEa,0.723,0.865,-4.78,0.242,0.0,0.232,0.863,86.846,7
7aB9V1AfdHhdONxii7njJ9,0.611,0.568,-6.142,0.032,0.0,0.117,0.567,95.546,0
0AeTLxk6f9hvsC9MSTPQwe,0.6,0.358,-12.136,0.301,1.34e-06,0.13,0.334,111.64,18
00i2HU7TEzzftShjRrDSEF,0.865,0.657,-6.722,0.076,0.0,0.14,0.316,111.115,25
6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,-4.209,0.0465,0.0,0.335,0.557,95.39,13
2HpDcssMlgQXfmAUYhePIP,0.619,0.654,-8.541,0.0425,0.00332,0.0604,0.726,80.0,0
7mrWTjhYctgEQb0lJKrVWy,0.88,0.607,-7.067,0.0777,0.0537,0.15,0.823,126.039,7
4hKL6wIydYvgQRvx55WOwG,0.736,0.921,-4.91,0.238,0.0,0.301,0.702,105.056,25
3UE1ojFN1y0GybCNSyKGdK,0.652,0.585,-5.856,0.0523,0.000417,0.138,0.176,176.025,17
1WWPdt2YcELa0rnmW2AjjT,0.663,0.493,-13.783,0.037,0.604,0.0906,0.603,126.007,15
67UOlZLz6tDEDuScefmWDd,0.506,0.563,-9.274,0.0535,0.593,0.149,0.0753,119.993,10
0Jh40A8WJdGXwkEDgxhaKo,0.758,0.814,-4.911,0.0419,0.000274,0.104,0.302,105.03,17
31L9yLXSj6LpCFupyMV6CR,0.479,0.717,-5.459,0.0605,0.000333,0.102,0.253,163.989,24
7vptmeNwSEVkcwDdqk7UQO,0.762,0.503,-9.397,0.0308,0.17,0.115,0.558,96.999,0
0pRyOQjr12h9RBEFmhbTQc,0.428,0.98,-2.975,0.443,0.0,0.127,0.423,92.035,13
2W3EgJst61RLZtPPm3EQim,0.563,0.44,-11.943,0.0822,0.683,0.269,0.213,120.009,10
5IvFgLGsq0LeEf09FuYfA2,0.601,0.695,-7.407,0.403,0.0,0.104,0.424,74.638,25
68UiApRTyu4Trb5kwMgCd2,0.507,0.615,-10.687,0.148,0.521,0.115,0.142,122.89,10
2zSK9gtYbGNtC4pvLyNPyD,0.624,0.646,-9.0,0.0399,0.898,0.0979,0.291,126.004,10
6OyEbGSnML69TiPCQf4ATK,0.718,0.656,-9.752,0.0417,0.806,0.0915,0.466,124.007,10
6KIKRz9eSTXdNsGUnomdtW,0.834,0.878,-9.484,0.15,0.0,0.334,0.418,102.848,25
2XC3ZrY1UPHPlwFv7vcBPt,0.643,0.85,-6.386,0.0513,0.0199,0.229,0.576,120.041,13
6J3HNhDBIwEX11bX8hzx5u,0.546,0.696,-6.537,0.0335,1.84e-05,0.195,0.596,89.882,0
1FreAz1lmnDi5aKLB6GdFM,0.835,0.687,-3.18,0.184,0.0,0.132,0.828,94.059,7
4oWDaJpusSH1lqIQQkEHsS,0.609,0.74,-11.046,0.0342,0.749,0.113,0.0391,122.008,10
0AQHfKjzky28rf5ytfBANJ,0.662,0.628,-8.502,0.0251,0.0776,0.128,0.588,102.319,0
